Konu;Ham_Cikti
Spor;"Soru: FIFA Dünya Kupası tarihinde hangi ülke, ilk kez 2022'de düzenlendiğinde ""ev sahibi"" olarak oynayan tek Asya ülkesi oldu?
Doğru Cevap: Katar
Yanlış Cevap: Japonya (2002'de ev sahipliği yapmıştı)"
Spor;"Soru: NBA tarihinde en çok sezon MVP ödülü (""En Değerli Oyuncu"") kazanan basketbol oyuncusu kimdir?
Doğru Cevap: Kareem Abdul-Jabbar (6 kez)
Yanlış Cevap: LeBron James (4 kez kazanmıştır, ancak en fazla Russell'ın 5'i vardır)"
Spor;"Soru: Cricket Dünya Kupası'nı en çok kazanan ülke hangisidir?
Doğru Cevap: Avustralya (5 kez)
Yanlış Cevap: Hindistan (4 kez kazanmıştır, ancak birincisi değil)"
Bilim ve Teknoloji;"Soru: mRNA aşılarının çalışma prensibi nedir?
Doğru Cevap: mRNA (mesajcı RNA), virüsün belirli bir proteinini (spike proteini gibi) üretmek için vücuda enjekte edilir. Bağışıklık sistemi bu proteine karşı antikor üretir, böylece gerçek virüse karşı korunma sağlanır.
Yanlış Cevap: mRNA aşıları doğrudan zayıflatılmış virüs içerir ve bağışıklık sistemini aktive eder."
Bilim ve Teknoloji;"Soru: James Webb Uzay Teleskobu (JWST) hangi tarihte uzaya fırlatılmıştır?
Doğru Cevap: 25 Aralık 2021
Yanlış Cevap: 30 Mart 2020"
Bilim ve Teknoloji;"Soru: İnsan yapımı ilk yapay zekâ derin öğrenme ağı olan ve görüntü tanımada %92.8 doğruluk sağlayan modelin adı nedir?
Doğru Cevap: AlexNet
Yanlış Cevap: ResNet-50"
Bilim ve Teknoloji;"Soru: İklim değişikliği verilerini analiz etmek için kullanılan NASA uydusu ve veri platformunun adı nedir?
Doğru Cevap: Earth Observing System (EOS)
Yanlış Cevap: Mars Reconnaissance Orbiter (MRO)"
Coğrafya;"Soru: Dünyanın en uzun nehri hangisidir?
Doğru Cevap: Nil Nehri (yaklaşık 6,650 km)
Yanlış Cevap: Amazon Nehri (Nil'den daha uzun olduğu yanılgısıyla)"
Coğrafya;"Soru: Antik Çağ'da MÖ 500 civarında ""Efestion"" adıyla bilinen ve günümüzde İzmir Körfezi'nin oluşturduğu su kütlesinin adı nedir?
Doğru Cevap: Urla Burnu
Yanlış Cevap: Çeşme Yarımadası."
Coğrafya;"Soru: Baltık Denizi, Kuzey Buz Denizi ve Atlantik Okyanusu ile bağlantılı olan, Avrupa'nın en büyük iç denizlerinden biri hangisidir?
Doğru Cevap: Baltık Denizi
Yanlış Cevap: Ege Denizi."
Spor;"Soru: Wimbledon tenis turnuvası ne zaman ilk kez düzenlendi?
Doğru Cevap: 1877
Yanlış Cevap: 1900"
Tarih;"Soru: İlk Haçlı Seferleri'nin başladığı yıl hangisidir?
Doğru Cevap: 1096
Yanlış Cevap: 1300"
Bilim ve Teknoloji;"Soru: CRISPR-Cas9 gen düzenleme teknolojisinin geliştirilmesine katkı sağlayan bilim insanlarına hangi Nobel Ödülü verildi?
Doğru Cevap: 2020 Nobel Kimya Ödülü
Yanlış Cevap: Nobel Fizik Ödülü"
Bilim ve Teknoloji;"Soru: DNA'nın yapısını çift sarmal olarak keşfeden bilim insanları kimdir?
Doğru Cevap: James Watson ve Francis Crick
Yanlış Cevap: Rosalind Franklin"
Bilim ve Teknoloji;"Soru: İnternetin temelini oluşturan protokol hangisidir?
Doğru Cevap: TCP/IP
Yanlış Cevap: HTTP"
Bilim ve Teknoloji;"Soru: Güneş sistemindeki en büyük gezegen hangisidir?
Doğru Cevap: Jüpiter
Yanlış Cevap: Satürn"
Bilim ve Teknoloji;"Soru: CRISPR-Cas9 gen düzenleme teknolojisini geliştiren bilim insanları kimdir?
Doğru Cevap: Emmanuelle Charpentier ve Jennifer A. Doudna
Yanlış Cevap: Thomas Cech"
Bilim ve Teknoloji;"Soru: Hangisi yapay zekanın derin öğrenme alanındaki temel mimarilerden biri değildir?
Doğru Cevap: Transformers
Yanlış Cevap: CNN"
