Konu;Ham_Cikti
Spor;"Soru: FIFA Dünya Kupası tarihinde hangi ülke, ilk kez 2022'de düzenlendiğinde ""ev sahibi"" olarak oynayan tek Asya ülkesi oldu?
Doğru Cevap: Katar
Yanlış Cevap: Japonya (2002'de ev sahipliği yapmıştı)"
Spor;"Soru: NBA tarihinde en çok sezon MVP ödülü (""En Değerli Oyuncu"") kazanan basketbol oyuncusu kimdir?
Doğru Cevap: Kareem Abdul-Jabbar (6 kez)
Yanlış Cevap: LeBron James (4 kez kazanmıştır, ancak en fazla Russell'ın 5'i vardır)"
Spor;"Soru: Tenis Grand Slam turnuvalarında ""Avustralya Açık"" hangi mevsimde düzenlenir?
Doğru Cevap: Ocak ayında (yaz mevsimi Avustralya'da)
Yanlış Cevap: Eylül ayında (Fransa Açık gibi ilkbahar/sonbaharda değil)"
Spor;"Soru: Cricket Dünya Kupası'nı en çok kazanan ülke hangisidir?
Doğru Cevap: Avustralya (5 kez)
Yanlış Cevap: Hindistan (4 kez kazanmıştır, ancak birincisi değil)"
Spor;"Soru: FIFA Dünyası Futbol Ödülleri'nde ""En İyi Erkek Futbolcu"" ödülünün eski adı nedir?
Doğru Cevap: Ballon d'Or (""Altın Top"")
Yanlış Cevap: UEFA Şampiyonluk Kupası (farklı bir ödül)"
Bilim ve Teknoloji;"Soru: mRNA aşılarının çalışma prensibi nedir?
Doğru Cevap: mRNA (mesajcı RNA), virüsün belirli bir proteinini (spike proteini gibi) üretmek için vücuda enjekte edilir. Bağışıklık sistemi bu proteine karşı antikor üretir, böylece gerçek virüse karşı korunma sağlanır.
Yanlış Cevap: mRNA aşıları doğrudan zayıflatılmış virüs içerir ve bağışıklık sistemini aktive eder."
Coğrafya;"Soru: Hangi okyanus dünyadaki diğer tüm okyanuslardan daha büyüktür ve yüzölçümü yaklaşık 17,3 milyon km²'dir?
Doğru Cevap: Atlas Okyanusu
Yanlış Cevap: Arktik Okyanus"
Bilim ve Teknoloji;"Soru: James Webb Uzay Teleskobu (JWST) hangi tarihte uzaya fırlatılmıştır?
Doğru Cevap: 25 Aralık 2021
Yanlış Cevap: 30 Mart 2020"
Bilim ve Teknoloji;"Soru: Yapay zekânın derin öğrenme (deep learning) alanındaki çığır açıcı başarılarından biri olan görüntü tanıma modeli hangi yıl geliştirilmiştir?
Doğru Cevap: 2012
Yanlış Cevap: 2007"
Bilim ve Teknoloji;"Soru: İnsan yapımı ilk yapay zekâ derin öğrenme ağı olan ve görüntü tanımada %92.8 doğruluk sağlayan modelin adı nedir?
Doğru Cevap: AlexNet
Yanlış Cevap: ResNet-50"
Bilim ve Teknoloji;"Soru: Kuantum bilgisayarlarda veri depolama ve işlem yapma birimi olan kubitlerin (qubit) temel özelliklerini ifade eden fiziksel fenomen nedir?
Doğru Cevap: Süperpozisyon
Yanlış Cevap: Dolanıklık"
Bilim ve Teknoloji;"Soru: İklim değişikliği verilerini analiz etmek için kullanılan NASA uydusu ve veri platformunun adı nedir?
Doğru Cevap: Earth Observing System (EOS)
Yanlış Cevap: Mars Reconnaissance Orbiter (MRO)"
Coğrafya;"Soru: Dünyanın en uzun nehri hangisidir?
Doğru Cevap: Nil Nehri (yaklaşık 6,650 km)
Yanlış Cevap: Amazon Nehri (Nil'den daha uzun olduğu yanılgısıyla)"
Coğrafya;"Soru: Hangi doğal süreçle toprak ve kaya parçaları aşınır, taşınır ve biriktirilerek yeni şekiller oluşturur?
Doğru Cevap: Erozyon
Yanlış Cevap: Yağmur suyu taşınması."
Coğrafya;"Soru: Antik Çağ'da MÖ 500 civarında ""Efestion"" adıyla bilinen ve günümüzde İzmir Körfezi'nin oluşturduğu su kütlesinin adı nedir?
Doğru Cevap: Urla Burnu
Yanlış Cevap: Çeşme Yarımadası."
Coğrafya;"Soru: Dünya'nın en büyük buz denizine ve Antarktika kıtasına komşu olan, iklim değişikliği araştırmalarında kritik öneme sahip hangi deniz?
Doğru Cevap: Antarktik Denizi
Yanlış Cevap: Bering Denizi."
